OBJECTID,NEW2007,NEWWARD,WESTMINSTE,SCOTTISH,PLACE_LINK,POLLING_PL,ADDRESS,POSTCODE,FULL_AD,X,Y,Shapearea,Shapelen
56,NN04H,Forth,North and Leith,Northern & Leith,NN04H,Inverleith St Serf's Church,280 Ferry Road,EH5 3NP,"280 Ferry Road, EH5 3NP",324876.2997,676067.7677,826314.1742,4041.150005
57,NN04I,Forth,North and Leith,Northern & Leith,NN04I,Newhaven Church Hall,7 Craighall Road,EH6 4ND,"7 Craighall Road, EH6 4ND",325392.9599,676959.3211,347600.9889,2818.401165
58,NN04E,Forth,North and Leith,Northern & Leith,NN04E,Royston Wardieburn Community Centre,11 Pilton Drive North,EH5 1NF,"11 Pilton Drive North, EH5 1NF",323344.2128,676620.1613,1100275.202,6981.007629
59,NN04F,Forth,North and Leith,Northern & Leith,NN04F,"Granton Primary School, New Annex",59 Boswall Parkway (Enter via Wardieburn Street West),EH5 2DA,"59 Boswall Parkway (Enter via Wardieburn Street West), EH5 2DA",323518.3221,676607.7497,526875.007,3569.99295
60,NN04G,Forth,North and Leith,Northern & Leith,NN04G,Wardie Residents Club,125 Granton Road,EH5 3NJ,"125 Granton Road, EH5 3NJ",324253.1192,676577.935,674303.2504,6947.208693
61,SWS09C,Fountainbridge/Craiglockhart,South West,Southern,SWS09C,Fountainbridge Library,137 Dundee Street,EH11 1BG,"137 Dundee Street, EH11 1BG",323997.4611,672570.3788,197782.1317,2234.42552
62,SWS09B,Fountainbridge/Craiglockhart,South West,Southern,SWS09B,Craiglockhart Primary School,90 Ashley Terrace,EH11 1RG,"90 Ashley Terrace, EH11 1RG",323399.665,671645.076,401044.4524,2743.63989
63,SWS09A,Fountainbridge/Craiglockhart,South West,Southern,SWS07K/SWS09A,St Cuthbert's Church Hall,Hutchison Crossway,EH14 1PT,"Hutchison Crossway, EH14 1PT",322669.2705,671535.3251,982183.8199,4737.357108
64,SWS09E,Fountainbridge/Craiglockhart,South West,Southern,SWS09E,Boroughmuir Rugby & Community Sports Club,2 Meggetland Wynd,EH14 1XN,"2 Meggetland Wynd, EH14 1XN",323010.5684,671196.2866,1019576.563,4968.697233
65,SS09F,Fountainbridge/Craiglockhart,South,Southern,SS09F/SS10B,Polwarth Parish Church,36 Polwarth Terrace,EH11 1LU,"36 Polwarth Terrace, EH11 1LU",323658.6775,671906.0851,140839.3772,2353.829308
66,SS09H,Fountainbridge/Craiglockhart,South,Southern,SS09H/SS10J,Greenbank Church Hall,2b Braidburn Terrace,EH10 6ES,"2b Braidburn Terrace, EH10 6ES",324334.2051,670235.9477,3231.252372,243.028348
67,SWC09D,Fountainbridge/Craiglockhart,South West,Central,SWC09D,Tollcross Primary School,117 Fountainbridge,EH3 9QG,"117 Fountainbridge, EH3 9QG",324743.6538,672913.2711,282659.5086,2275.40282
68,SWS09G,Fountainbridge/Craiglockhart,South West,Southern,SWS09G,Craiglockhart Parish Church Hall,Craiglockhart Drive North,EH14 1HS,"Craiglockhart Drive North, EH14 1HS",322445.7749,670539.9699,1829056.696,8691.301264
69,WW05C,Inverleith,West,Western,WW05C,Drylaw Neighbourhood Centre,67 Groathill Road North,EH4 2SA,"67 Groathill Road North, EH4 2SA",322265.5792,675024.0213,641699.9909,3611.095396
70,NC05D,Inverleith,North and Leith,Central,NC05D,Scottish Health Service Centre,Crewe Road South,EH4 2LF,"Crewe Road South, EH4 2LF",323268.996,674940.1396,1164914.151,5112.015778
71,NW05E,Inverleith,North and Leith,Western,NW05E,Blackhall St Columba's Church Hall,6 Muirdale Terrace,EH4 3QW,"6 Muirdale Terrace, EH4 3QW",321913.8572,674624.9349,863152.5623,4857.385019
72,NC05G,Inverleith,North and Leith,Central,NC05G,St Stephen's Comely Bank Church,10 Comely Bank Road,EH4 1DW,"10 Comely Bank Road, EH4 1DW",324030.4903,674769.0988,798984.9102,4924.347563
73,NC05J,Inverleith,North and Leith,Central,NC05J,Bristo Baptist Church Hall,41 Buckingham Terrace,EH4 3AP,"41 Buckingham Terrace, EH4 3AP",323842.2371,674200.4992,807889.6078,4953.938389
74,WW05A,Inverleith,West,Western,WW05A,Blackhall Library,56 Hillhouse Road,EH4 5EG,"56 Hillhouse Road, EH4 5EG",321379.492,675010.6844,258211.6225,2758.283667
75,NC05I,Inverleith,North and Leith,Central,NC05I,Bellevue Chapel,Rodney Street,EH7 4EL,"Rodney Street, EH7 4EL",325507.5345,674911.5059,115136.4037,1396.790295
76,NC05H,Inverleith,North and Leith,Central,NC05H,Stockbridge Parish Church,7B Saxe Coburg St,EH3 5BN,"7B Saxe Coburg St, EH3 5BN",324749.8815,674795.3807,558634.6678,3844.51206
77,NN05F,Inverleith,North and Leith,Northern & Leith,NN05F,St James' Episcopal Church Hall,57b Inverleith Row,EH3 5PX,"57b Inverleith Row, EH3 5PX",324654.293,675945.9615,1683599.36,5561.796375
78,WC05K,Inverleith,West,Central,WC05K/WC11D,Apex Haymarket Hotel,90 Haymarket Terrace (enter via Magdala Crescent),EH12 5LQ,"90 Haymarket Terrace (enter via Magdala Crescent), EH12 5LQ",323727.3906,673245.6922,30774.13072,1172.751506
79,WW05B,Inverleith,West,Western,WW05B,Blackhall Primary School,83 Craigcrook Rd,EH4 3PH,"83 Craigcrook Rd, EH4 3PH",321322.01,674328.1496,1204004.004,5272.552618
80,NN13B,Leith,North and Leith,Northern & Leith,NN13B,North Leith Parish Church Hall,55 Madiera Street,EH6 4AU,"55 Madiera Street, EH6 4AU",326265.8047,676544.5645,929410.7457,4604.210123
81,NN13A,Leith,North and Leith,Northern & Leith,NN13A,Victoria Primary School,4-6 Newhaven Main Street,EH6 4HY,"4-6 Newhaven Main Street, EH6 4HY",325684.6562,677017.1918,956197.6896,4324.7063
82,NN13C,Leith,North and Leith,Northern & Leith,NN13C,St Mary's (Leith) RC Primary School,30 Links Gardens,EH6 7JG,"30 Links Gardens, EH6 7JG",327708.8815,676017.3222,2609155.463,11374.46576
83,NN13D,Leith,North and Leith,Northern & Leith,NN13D,South Leith Parish Church Halls,6 Henderson Street,EH6 7GS,"6 Henderson Street, EH6 7GS",326900.1381,676060.6718,481741.2936,3583.74398
84,EN13E,Leith,East,Northern & Leith,EN13E,Hermitage Park Primary School,9 Hermitage Park,EH6 8HD,"9 Hermitage Park, EH6 8HD",327564.2371,675339.3222,816253.4714,5999.742047
85,EE13F,Leith,East,Eastern,EE13F,Restalrig Lochend Community Hub,198 Restalrig Road South,EH7 6DZ,"198 Restalrig Road South, EH7 6DZ",328067.4365,675130.1747,168078.2045,1788.425545
86,NN12A,Leith Walk,North and Leith,Northern & Leith,NN12A,Holy Cross RC Primary School,82 Craighall Road,EH6 4RE,"82 Craighall Road, EH6 4RE",325478.2119,676228.3438,269082.1957,2716.61942
87,NN12B,Leith Walk,North and Leith,Northern & Leith,NN12B,Ebeneezer United Free Church Hall,31 Bangor Road,EH6 5JX,"31 Bangor Road, EH6 5JX",326583.6296,676164.5619,186623.5133,2044.265418
88,NN12C,Leith Walk,North and Leith,Northern & Leith,NN12C,Royal Navy & Royal Marine Assoc. & Club,"Heriothill House,1 Broughton Road",EH7 4EW,"Heriothill House,1 Broughton Road, EH7 4EW",325353.0442,675058.3652,302601.1814,3397.958985
89,NN12D,Leith Walk,North and Leith,Northern & Leith,NN12D,Broughton Nursery,McDonald Road,EH7 4NW,"McDonald Road, EH7 4NW",325940.0383,675337.0749,561860.9249,3811.99377
90,NN12E,Leith Walk,North and Leith,Northern & Leith,NN12E,Pilrig St Paul's Church Hall,1b Pilrig Street,EH5 5AH,"1b Pilrig Street, EH5 5AH",326535.449,675200.6001,211062.8854,2000.69035
91,NN12F,Leith Walk,North and Leith,Northern & Leith,NN12F,Lorne Primary School,7 Lorne Street,EH6 8QS,"7 Lorne Street, EH6 8QS",326783.6444,675421.7963,176637.421,1926.970164
92,NN12I,Leith Walk,North and Leith,Northern & Leith,NN12I,McDonald Road Library,2 McDonald Road,EH7 4LU,"2 McDonald Road, EH7 4LU",326344.5282,674887.0814,241547.6427,2706.79424
93,NN12J,Leith Walk,North and Leith,Northern & Leith,NN12J,Leith Walk Primary School,9 Brunswick Road,EH7 5NG,"9 Brunswick Road, EH7 5NG",326475.5259,674776.6261,413426.244,2643.99716
