OBJECTID,NEW2007,NEWWARD,WESTMINSTE,SCOTTISH,PLACE_LINK,POLLING_PL,ADDRESS,POSTCODE,FULL_AD,X,Y,Shapearea,Shapelen
122,SWP02B,Pentland Hills,South West,Pentlands,SWP02B,Heriot-Watt University,"Student Union Building, Riccarton",EH14 5DH,"Student Union Building, Riccarton , EH14 5DH",317702.3349,669456.4676,3661364.925,8653.624872
148,ES15H,Southside/Newington,East,Southern,ES15H/ES16C,Cameron House Community Education Centre,34 Prestonfield Avenue,EH16 5EU,"34 Prestonfield Avenue, EH16 5EU",327716.3619,671698.8751,1160057.367,4634.476763
149,EC15A,Southside/Newington,East,Central,EC15A,Braidwood Community Centre,69 Dumbiedykes Road,EH8 9UT,"69 Dumbiedykes Road, EH8 9UT",326542.4727,673457.2915,204930.4783,3379.444466
150,EC15B,Southside/Newington,East,Central,EC15B,Southside Community Centre,117 Nicolson Street,EH8 9ER,"117 Nicolson Street, EH8 9ER",326144.4596,672995.0881,518927.4515,3301.856825
123,SWP02C,Pentland Hills,South West,Pentlands,SWP02C,Juniper Green Parish Church Hall,"498 Lanark Road, Juniper Green (enter via Woodhall Avenue)",EH14 5DH,"498 Lanark Road, Juniper Green (enter via Woodhall Avenue), EH14 5DH",319964.4507,668764.9829,1363598.494,7430.714748
124,SWP02D,Pentland Hills,South West,Pentlands,SWP02D,Clovenstone Community Centre,54 Clovenstone Park (Clovenstone PS),EH14 3EY,"54 Clovenstone Park (Clovenstone PS), EH14 3EY",320491.797,669417.6466,436621.9214,3034.317286
125,SWP02E,Pentland Hills,South West,Pentlands,SWP02E,Kingsknowe Golf Club *NEW*,326 Lanark Road,EH14 2JD,"326 Lanark Road, EH14 2JD",321181.59,669708.9027,965779.5738,5837.628083
126,EE17A,Portobello/Craigmillar,East,Eastern,EE17A,Portobello Town Hall,147 Portobello High Street,EH15 1AF,"147 Portobello High Street, EH15 1AF",330458.8168,673898.9037,936473.7168,4680.022934
127,EE17B,Portobello/Craigmillar,East,Eastern,EE17B,St Johns RC Primary School,1 Hamilton Terrace,EH15 1NB,"1 Hamilton Terrace, EH15 1NB",330034.6444,673465.7446,537205.0641,3074.833463
128,EE17C,Portobello/Craigmillar,East,Eastern,EE17C,St Philip's Church Hall,1a Brunstane Rd North,EH15 2DL,"1a Brunstane Rd North, EH15 2DL",331254.4134,673597.2037,1218696.1,6194.704551
129,EE17E,Portobello/Craigmillar,East,Eastern,EE17E,Brunstane Primary School,106 Magdalene Drive,EH15 3BE,"106 Magdalene Drive, EH15 3BE",331149.7629,672661.3222,1887973.838,7384.865348
130,EE17G,Portobello/Craigmillar,East,Eastern,EE17G/ES17M,East Neighbourhood Centre,101 Niddrie Mains Road,EH16 4DS,"101 Niddrie Mains Road, EH16 4DS",329134.8452,671700.0071,1916146.241,7724.232985
131,EE17D,Portobello/Craigmillar,East,Eastern,EE17D,Bingham Community Centre,31 Bingham Avenue,EH15 3HZ,"31 Bingham Avenue, EH15 3HZ",329854.0727,672481.9936,970227.3634,6593.97695
132,EE17J,Portobello/Craigmillar,East,Eastern,EE17J,Hays Community Business Centre,4 Hay Avenue,EH16 4AQ,"4 Hay Avenue, EH16 4AQ",329976.8852,671835.8115,2728988.953,10816.65847
133,SE17L,Portobello/Craigmillar,South,Eastern,EE16L/SE16D/SE17L,Moredun Library,92 Moredun Park Road,EH17 7HL,"92 Moredun Park Road, EH17 7HL",329155,669514,2288.388736,188.223976
134,ES17M,Portobello/Craigmillar,East,Southern,EE17G/ES17M,East Neighbourhood Centre,101 Niddrie Mains Road,EH16 4DS,"101 Niddrie Mains Road, EH16 4DS",329134.8452,671700.0071,256368.0129,2804.860048
135,EE17K,Portobello/Craigmillar,East,Eastern,EE17K,Newcraighall Primary School,67 Whitehill Street,EH21 8QZ,"67 Whitehill Street, EH21 8QZ",332120,671875.5593,326887.2988,2918.830534
136,SWP07A,Sighthill/Gorgie,South West,Pentlands,SWP07A,St David's Church Hall,70a Broomhouse Crescent,EH11 3RH,"70a Broomhouse Crescent, EH11 3RH",320295.8654,671329.7883,2067579.882,7318.452589
137,SWP07G,Sighthill/Gorgie,South West,Pentlands,SWP07G,Sighthill Primary School,1 Calder Park,EH11 4NF,"1 Calder Park, EH11 4NF",319279.2371,670401.9149,598840.8418,3113.970115
138,SWP07H,Sighthill/Gorgie,South West,Pentlands,SWP07H,Gate 55,55 Sighthill Road,EH11 4PB,"55 Sighthill Road, EH11 4PB",319601.1165,670423.4705,504093.7945,3926.256624
139,SWP07I,Sighthill/Gorgie,South West,Pentlands,SWP07I,Murrayburn Primary School,1 Sighthill Loan,EH11 4NP,"1 Sighthill Loan, EH11 4NP",320062.0825,670693.9042,287495.7115,2599.89344
140,SWP07J,Sighthill/Gorgie,South West,Pentlands,SWP07J,Stenhouse Primary School,4 Saughton Mains Street,EH11 3HH,"4 Saughton Mains Street, EH11 3HH",321178.0695,671552.2174,632500.7294,4334.155143
141,SWP07M,Sighthill/Gorgie,South West,Pentlands,SWP07M,"The Bridge Community Cafe, Holy Trinity Church",2 Hailesland Place,EH14 2SL,"2 Hailesland Place, EH14 2SL",320124.2198,670034.0629,476536.4389,3535.412778
142,SWP07N,Sighthill/Gorgie,South West,Pentlands,SWP07N,Longstone Primary School,3a Redhall Grove,EH14 2DU,"3a Redhall Grove, EH14 2DU",321269.9634,670486.5593,778727.3844,4024.485965
143,WP07B,Sighthill/Gorgie,West,Pentlands,WP07B,Carrickvale Community Education Centre,2 Saughton Mains Street,EH11 3HH,"2 Saughton Mains Street, EH11 3HH",321135.5926,671601.9391,741111.0775,4398.349027
144,SWS07K,Sighthill/Gorgie,South West,Southern,SWS07K/SWS09A,St Cuthbert's Church Hall,Hutchison Crossway,EH14 1PT,"Hutchison Crossway, EH14 1PT",322669.2705,671535.3251,42973.14169,1526.827047
145,SWC07D,Sighthill/Gorgie,South West,Central,SWC07D,Gorgie War Memorial Hall,338 Gorgie Road,EH11 2QU,"338 Gorgie Road, EH11 2QU",322710.4452,672242.5016,369865.5659,3030.615787
146,SWC07E,Sighthill/Gorgie,South West,Central,SWC07E,Gorgie Dalry Parish Church Hall,190-192 Gorgie Road,EH11 2NX,"190-192 Gorgie Road, EH11 2NX",323078.0578,672333.9692,508667.2467,3727.557396
147,SWC07F,Sighthill/Gorgie,South West,Central,SWC07F,Dalry Primary School,4 Cathcart Place,EH11 2JB,"4 Cathcart Place, EH11 2JB",323712.2371,672792.9149,362745.3892,2965.749774
151,EC15C,Southside/Newington,East,Central,EC15C,Nelson Hall Community Centre,5 Spittalfield Crescent,EH8 9QZ,"5 Spittalfield Crescent, EH8 9QZ",326465.1722,672687.6078,537040.9687,3572.158577
152,SS15D,Southside/Newington,South,Southern,SS15D,St Catherine's Argyle Church,61-63 Grange Road,EH9 1TY,"61-63 Grange Road, EH9 1TY",325742.4354,672039.6121,489170.5257,3314.067927
153,SS15F,Southside/Newington,South,Southern,SS15F,Marchmont St Giles' Parish Church,5 Kilgraston Road,EH9 2DW,"5 Kilgraston Road, EH9 2DW",325544.5785,671878.1155,990568.3711,4039.695374
154,SS15I,Southside/Newington,South,Southern,SS15I,Reid Memorial Church Hall,184/186 West Saville Terrace,EH3 9HY,"184/186 West Saville Terrace, EH3 9HY",326062.492,671016.3141,1719461.358,5728.903967
155,SS15G,Southside/Newington,South,Southern,SS15G,Mayfield Salisbury Church Hall,18 West Mayfield,EH9 1TQ,"18 West Mayfield, EH9 1TQ",326562.4897,671736.3452,836618.2149,4585.932543
156,SS10G,Meadows/Morningside,South,Southern,SS10G,James Gillespie's Primary School,Whitehouse Loan (Enter via Warrender Park Road),EH9 1BD,"Whitehouse Loan (Enter via Warrender Park Road), EH9 1BD",325007.255,672172.389,440338.713,3085.987176
